季節,詳細季節,親季語,親季語よみがな,子季語,文字数,表示用子季語,季語の説明,分類
huyu,三冬,白菜,はくさい,白菜漬,3,,冬の寒気に当たって葉の巻きが締まり、甘みが増すハクサイ。鍋物、炒め物、浅漬けなど、冬の食卓に欠かせない大衆野菜。,植物
huyu,三冬,裸木,はだかぎ,裸木,2,,冬になって落葉を終えた樹木のこと。まとっていたものを、すべて取り払った状態になることからこう呼ばれる。俳句では、枯木と同じような意味で使われるが、「裸」という言葉の印象が枯木以上に蕭条としたものを印象付ける。,植物
huyu,三冬,冬苺,ふゆいちご,冬苺,2,寒苺、きんいちご,バラ科の常緑の蔓性小灌木。夏の山地に白い五弁の花を咲かせ、 冬に赤い実が熟す。実は食用となる。冬に温室栽培される苺とは 区別する。,植物
huyu,三冬,冬苺,ふゆいちご,寒苺,2,,バラ科の常緑の蔓性小灌木。夏の山地に白い五弁の花を咲かせ、 冬に赤い実が熟す。実は食用となる。冬に温室栽培される苺とは 区別する。,植物
huyu,三冬,冬苺,ふゆいちご,きんいちご,5,,バラ科の常緑の蔓性小灌木。夏の山地に白い五弁の花を咲かせ、 冬に赤い実が熟す。実は食用となる。冬に温室栽培される苺とは 区別する。,植物
huyu,三冬,冬柏,ふゆかしわ,冬柏,2,柏の枯葉/枯柏,ブナ科の落葉高木。冬に葉が枯れても、落ちないで枝について越 冬する。その立ち姿や風に鳴る葉音は印象的で、「柏木の葉守の 神」と古歌にあるように、神宿る木とされるのも頷ける。,植物
huyu,三冬,冬柏,ふゆかしわ,柏の枯葉,4,,ブナ科の落葉高木。冬に葉が枯れても、落ちないで枝について越 冬する。その立ち姿や風に鳴る葉音は印象的で、「柏木の葉守の 神」と古歌にあるように、神宿る木とされるのも頷ける。,植物
huyu,三冬,冬柏,ふゆかしわ,枯柏,2,,ブナ科の落葉高木。冬に葉が枯れても、落ちないで枝について越 冬する。その立ち姿や風に鳴る葉音は印象的で、「柏木の葉守の 神」と古歌にあるように、神宿る木とされるのも頷ける。,植物
huyu,三冬,冬枯,ふゆがれ,冬枯,2,枯る/冬枯道,冬の草木が枯れ果てた荒涼とした景を言う。草や樹、一木一草の枯れのこともいうが、野山一面枯れ色となった景のことでもある。,植物
huyu,三冬,冬枯,ふゆがれ,枯る,2,,冬の草木が枯れ果てた荒涼とした景を言う。草や樹、一木一草の枯れのこともいうが、野山一面枯れ色となった景のことでもある。,植物
huyu,三冬,冬枯,ふゆがれ,冬枯道,3,,冬の草木が枯れ果てた荒涼とした景を言う。草や樹、一木一草の枯れのこともいうが、野山一面枯れ色となった景のことでもある。,植物
huyu,三冬,冬木,ふゆき,冬木,2,寒木/冬木道/冬木宿/冬木影,冬の寒さの中に立つ木々の総称。葉を落とした落葉樹も、緑を保つ常緑樹も、冬の厳しい大気の中に毅然と立つ姿を詠む。,植物
huyu,三冬,冬木,ふゆき,寒木,2,,冬の寒さの中に立つ木々の総称。葉を落とした落葉樹も、緑を保つ常緑樹も、冬の厳しい大気の中に毅然と立つ姿を詠む。,植物
huyu,三冬,冬木,ふゆき,冬樹,2,,冬の寒さの中に立つ木々の総称。葉を落とした落葉樹も、緑を保つ常緑樹も、冬の厳しい大気の中に毅然と立つ姿を詠む。,植物
huyu,三冬,冬木,ふゆき,冬木道,3,,冬の寒さの中に立つ木々の総称。葉を落とした落葉樹も、緑を保つ常緑樹も、冬の厳しい大気の中に毅然と立つ姿を詠む。,植物
huyu,三冬,冬木,ふゆき,冬木宿,3,,冬の寒さの中に立つ木々の総称。葉を落とした落葉樹も、緑を保つ常緑樹も、冬の厳しい大気の中に毅然と立つ姿を詠む。,植物
huyu,三冬,冬木,ふゆき,冬木影,3,,冬の寒さの中に立つ木々の総称。葉を落とした落葉樹も、緑を保つ常緑樹も、冬の厳しい大気の中に毅然と立つ姿を詠む。,植物
huyu,三冬,冬木,ふゆき,冬の木,3,,冬の寒さの中に立つ木々の総称。葉を落とした落葉樹も、緑を保つ常緑樹も、冬の厳しい大気の中に毅然と立つ姿を詠む。,植物
huyu,三冬,冬木の桜,ふゆきのさくら,冬木の桜,4,枯桜,冬枯の桜をいう。色とりどりに美しい桜紅葉が散り尽くしたのち、 桜は枯れ姿になる。華やかな花時をおもかげに、枯れた姿にも趣 が感じられる。返り花や冬桜と混同しないようにしたい。,植物
huyu,三冬,冬木の桜,ふゆきのさくら,枯桜,2,,冬枯の桜をいう。色とりどりに美しい桜紅葉が散り尽くしたのち、 桜は枯れ姿になる。華やかな花時をおもかげに、枯れた姿にも趣 が感じられる。返り花や冬桜と混同しないようにしたい。,植物
huyu,三冬,冬木立,ふゆこだち,冬木立,3,寒林,冬の樹木「冬木」が群立しているさまをいう。落葉樹も常緑樹も冬木ではあるが、葉を落とした冬枯れの裸木の木立は、鬱蒼と茂る夏木立と対照的にものさびしいものである。,植物
huyu,三冬,冬木立,ふゆこだち,寒林,2,,冬の樹木「冬木」が群立しているさまをいう。落葉樹も常緑樹も冬木ではあるが、葉を落とした冬枯れの裸木の木立は、鬱蒼と茂る夏木立と対照的にものさびしいものである。,植物
huyu,三冬,冬珊瑚,ふゆさんご,冬珊瑚,3,玉珊瑚,ブラジル原産のナス科の灌木。枝分かれが多く、皮針形の葉が互生する。夏から秋にかけて、白色五裂の小花を開く。実は球形の液果で、上を向いてなり、冬に熟して赤色になる。愛らしく美しいので、観賞用にも栽培される。,植物
huyu,三冬,冬珊瑚,ふゆさんご,玉珊瑚,3,,ブラジル原産のナス科の灌木。枝分かれが多く、皮針形の葉が互生する。夏から秋にかけて、白色五裂の小花を開く。実は球形の液果で、上を向いてなり、冬に熟して赤色になる。愛らしく美しいので、観賞用にも栽培される。,植物
huyu,三冬,冬山椒,ふゆざんしょう,冬山椒,3,,ミカン科の灌木で、暖地の山野に自生する。葉は、冬も青々とし ている。長い楕円形の小葉からなる奇数回羽状複葉。山椒と似て いるが、匂いがよくないので食用にはしない。夏、淡黄色の小花 が咲き、辛味のある実がなる。,植物
huyu,三冬,冬薔薇,ふゆばら,冬薔薇,3,寒薔薇、ふゆばら,冬にも咲く薔薇のこと。あらかた葉を落として、二つ三つ小ぶり の花をつける姿を目にすると、わびしい思いを禁じえない。,植物
huyu,三冬,冬薔薇,ふゆばら,寒薔薇,3,寒薔薇、ふゆばら,冬にも咲く薔薇のこと。あらかた葉を落として、二つ三つ小ぶり の花をつける姿を目にすると、わびしい思いを禁じえない。,植物
huyu,三冬,冬薔薇,ふゆばら,ふゆばら,4,寒薔薇、ふゆばら,冬にも咲く薔薇のこと。あらかた葉を落として、二つ三つ小ぶり の花をつける姿を目にすると、わびしい思いを禁じえない。,植物
huyu,三冬,冬薔薇,ふゆばら,冬ばら,3,寒薔薇、ふゆばら,冬にも咲く薔薇のこと。あらかた葉を落として、二つ三つ小ぶり の花をつける姿を目にすると、わびしい思いを禁じえない。,植物
huyu,三冬,冬薔薇,ふゆばら,冬さうび,4,寒薔薇、ふゆばら,冬にも咲く薔薇のこと。あらかた葉を落として、二つ三つ小ぶり の花をつける姿を目にすると、わびしい思いを禁じえない。,植物
huyu,三冬,冬薔薇,ふゆばら,冬の薔薇,4,寒薔薇、ふゆばら,冬にも咲く薔薇のこと。あらかた葉を落として、二つ三つ小ぶり の花をつける姿を目にすると、わびしい思いを禁じえない。,植物
huyu,三冬,冬蔦,ふゆづた,冬蔦,2,木蔦,ウコギ科の蔓性低木。山野に生え、茎から気根を出して木や岩に這い上る。葉は長さ三～七センチの卵形で、光沢がある。冬でも青々としていることから、落葉する蔦に対してこう呼ばれる。庭木として壁に這わせるなどして楽しむ。,植物
huyu,三冬,冬蔦,ふゆづた,木蔦,2,,ウコギ科の蔓性低木。山野に生え、茎から気根を出して木や岩に這い上る。葉は長さ三～七センチの卵形で、光沢がある。冬でも青々としていることから、落葉する蔦に対してこう呼ばれる。庭木として壁に這わせるなどして楽しむ。,植物
huyu,三冬,冬菜,ふゆな,冬菜,2,小松菜、体菜、唐菜、葉菜、かぶ菜、油菜、冬菜畑、冬菜売、冬菜飯、漬菜、野沢菜、広島菜,九月ごろ種を蒔き、冬から春に収穫。小松菜、唐菜、広島菜、野沢菜などで、塩漬のほかに、ゆでておひたしに、また汁の実や油いためにしてもよい。おはづけ、田口菜、稲核菜、匙菜、体菜などめずらしい名の冬菜もある。,植物
huyu,三冬,冬菜,ふゆな,小松菜,3,,九月ごろ種を蒔き、冬から春に収穫。小松菜、唐菜、広島菜、野沢菜などで、塩漬のほかに、ゆでておひたしに、また汁の実や油いためにしてもよい。おはづけ、田口菜、稲核菜、匙菜、体菜などめずらしい名の冬菜もある。,植物
huyu,三冬,冬菜,ふゆな,体菜,2,,九月ごろ種を蒔き、冬から春に収穫。小松菜、唐菜、広島菜、野沢菜などで、塩漬のほかに、ゆでておひたしに、また汁の実や油いためにしてもよい。おはづけ、田口菜、稲核菜、匙菜、体菜などめずらしい名の冬菜もある。,植物
huyu,三冬,冬菜,ふゆな,唐菜,2,,九月ごろ種を蒔き、冬から春に収穫。小松菜、唐菜、広島菜、野沢菜などで、塩漬のほかに、ゆでておひたしに、また汁の実や油いためにしてもよい。おはづけ、田口菜、稲核菜、匙菜、体菜などめずらしい名の冬菜もある。,植物
huyu,三冬,冬菜,ふゆな,葉菜,2,,九月ごろ種を蒔き、冬から春に収穫。小松菜、唐菜、広島菜、野沢菜などで、塩漬のほかに、ゆでておひたしに、また汁の実や油いためにしてもよい。おはづけ、田口菜、稲核菜、匙菜、体菜などめずらしい名の冬菜もある。,植物
huyu,三冬,冬菜,ふゆな,かぶ菜,3,,九月ごろ種を蒔き、冬から春に収穫。小松菜、唐菜、広島菜、野沢菜などで、塩漬のほかに、ゆでておひたしに、また汁の実や油いためにしてもよい。おはづけ、田口菜、稲核菜、匙菜、体菜などめずらしい名の冬菜もある。,植物
huyu,三冬,冬菜,ふゆな,油菜,2,,九月ごろ種を蒔き、冬から春に収穫。小松菜、唐菜、広島菜、野沢菜などで、塩漬のほかに、ゆでておひたしに、また汁の実や油いためにしてもよい。おはづけ、田口菜、稲核菜、匙菜、体菜などめずらしい名の冬菜もある。,植物
huyu,三冬,冬菜,ふゆな,冬菜畑,3,,九月ごろ種を蒔き、冬から春に収穫。小松菜、唐菜、広島菜、野沢菜などで、塩漬のほかに、ゆでておひたしに、また汁の実や油いためにしてもよい。おはづけ、田口菜、稲核菜、匙菜、体菜などめずらしい名の冬菜もある。,植物
huyu,三冬,冬菜,ふゆな,冬菜売,3,,九月ごろ種を蒔き、冬から春に収穫。小松菜、唐菜、広島菜、野沢菜などで、塩漬のほかに、ゆでておひたしに、また汁の実や油いためにしてもよい。おはづけ、田口菜、稲核菜、匙菜、体菜などめずらしい名の冬菜もある。,植物
huyu,三冬,冬菜,ふゆな,冬菜飯,3,,九月ごろ種を蒔き、冬から春に収穫。小松菜、唐菜、広島菜、野沢菜などで、塩漬のほかに、ゆでておひたしに、また汁の実や油いためにしてもよい。おはづけ、田口菜、稲核菜、匙菜、体菜などめずらしい名の冬菜もある。,植物
huyu,三冬,冬菜,ふゆな,漬菜,2,,九月ごろ種を蒔き、冬から春に収穫。小松菜、唐菜、広島菜、野沢菜などで、塩漬のほかに、ゆでておひたしに、また汁の実や油いためにしてもよい。おはづけ、田口菜、稲核菜、匙菜、体菜などめずらしい名の冬菜もある。,植物
huyu,三冬,冬菜,ふゆな,野沢菜,3,,九月ごろ種を蒔き、冬から春に収穫。小松菜、唐菜、広島菜、野沢菜などで、塩漬のほかに、ゆでておひたしに、また汁の実や油いためにしてもよい。おはづけ、田口菜、稲核菜、匙菜、体菜などめずらしい名の冬菜もある。,植物
huyu,三冬,冬菜,ふゆな,広島菜,3,,九月ごろ種を蒔き、冬から春に収穫。小松菜、唐菜、広島菜、野沢菜などで、塩漬のほかに、ゆでておひたしに、また汁の実や油いためにしてもよい。おはづけ、田口菜、稲核菜、匙菜、体菜などめずらしい名の冬菜もある。,植物
huyu,三冬,冬の草,ふゆのくさ,冬の草,3,冬草、寒草、冬青草,枯れ草の中にじっと身を伏せ、地面に張り付くように緑を保つ冬の雑草。寒風に耐えて春の芽吹きを待つ強靭な命。,植物
huyu,三冬,冬の草,ふゆのくさ,冬草,2,,枯れ草の中にじっと身を伏せ、地面に張り付くように緑を保つ冬の雑草。寒風に耐えて春の芽吹きを待つ強靭な命。,植物
huyu,三冬,冬の草,ふゆのくさ,寒草,2,,枯れ草の中にじっと身を伏せ、地面に張り付くように緑を保つ冬の雑草。寒風に耐えて春の芽吹きを待つ強靭な命。,植物
huyu,三冬,冬の草,ふゆのくさ,冬青草,3,,枯れ草の中にじっと身を伏せ、地面に張り付くように緑を保つ冬の雑草。寒風に耐えて春の芽吹きを待つ強靭な命。,植物
huyu,三冬,冬芽,ふゆめ,冬芽,2,冬木の芽,春にほころびる木の芽は、おおむね秋のあいだにきざし、鱗片や 樹脂などに保護されて寒い冬を越す。辛夷、木蓮、梅、桜など裸 木となった落葉樹の冬芽は案外とよく目立つものである。,植物
huyu,三冬,冬芽,ふゆめ,冬木の芽,4,,春にほころびる木の芽は、おおむね秋のあいだにきざし、鱗片や 樹脂などに保護されて寒い冬を越す。辛夷、木蓮、梅、桜など裸 木となった落葉樹の冬芽は案外とよく目立つものである。,植物
huyu,三冬,冬芽,ふゆめ,冬の芽,3,,春にほころびる木の芽は、おおむね秋のあいだにきざし、鱗片や 樹脂などに保護されて寒い冬を越す。辛夷、木蓮、梅、桜など裸 木となった落葉樹の冬芽は案外とよく目立つものである。,植物
huyu,三冬,冬林檎,ふゆりんご,冬林檎,3,寒林檎,林檎の収穫は秋に終わるが、収穫後に凍結しない程の低温に貯蔵 して冬に食べる。,植物
huyu,三冬,冬林檎,ふゆりんご,冬りんご,4,,林檎の収穫は秋に終わるが、収穫後に凍結しない程の低温に貯蔵 して冬に食べる。,植物
huyu,三冬,冬林檎,ふゆりんご,寒林檎,3,,林檎の収穫は秋に終わるが、収穫後に凍結しない程の低温に貯蔵 して冬に食べる。,植物
huyu,三冬,冬蕨,ふゆわらび,冬蕨,2,冬の花蕨/寒蕨/花蕨/日陰蕨/常蕨,学問上の名は「フユノハナワラビ」。山野の草地にみられ、夏は 枯れて、冬になると高さ三十～四十センチになる。二種類の葉の 一つは普通の栄養葉、他は先に黄色い粟粒状の胞子をつける実葉となる。これが花のように見える。,植物
huyu,三冬,冬蕨,ふゆわらび,冬の花蕨,4,,学問上の名は「フユノハナワラビ」。山野の草地にみられ、夏は 枯れて、冬になると高さ三十～四十センチになる。二種類の葉の 一つは普通の栄養葉、他は先に黄色い粟粒状の胞子をつける実葉となる。これが花のように見える。,植物
huyu,三冬,冬蕨,ふゆわらび,寒蕨,2,,学問上の名は「フユノハナワラビ」。山野の草地にみられ、夏は 枯れて、冬になると高さ三十～四十センチになる。二種類の葉の 一つは普通の栄養葉、他は先に黄色い粟粒状の胞子をつける実葉となる。これが花のように見える。,植物
huyu,三冬,冬蕨,ふゆわらび,花蕨,2,,学問上の名は「フユノハナワラビ」。山野の草地にみられ、夏は 枯れて、冬になると高さ三十～四十センチになる。二種類の葉の 一つは普通の栄養葉、他は先に黄色い粟粒状の胞子をつける実葉となる。これが花のように見える。,植物
huyu,三冬,冬蕨,ふゆわらび,日陰蕨,3,,学問上の名は「フユノハナワラビ」。山野の草地にみられ、夏は 枯れて、冬になると高さ三十～四十センチになる。二種類の葉の 一つは普通の栄養葉、他は先に黄色い粟粒状の胞子をつける実葉となる。これが花のように見える。,植物
huyu,三冬,冬蕨,ふゆわらび,常蕨,2,,学問上の名は「フユノハナワラビ」。山野の草地にみられ、夏は 枯れて、冬になると高さ三十～四十センチになる。二種類の葉の 一つは普通の栄養葉、他は先に黄色い粟粒状の胞子をつける実葉となる。これが花のように見える。,植物
huyu,三冬,ブロッコリ,ぶろっこり,ブロッコリ,5,子持花椰菜,キャベツや白菜と同じアブラナ科の緑黄色野菜。茎の頂点に細かい粒状の花芽をつける。それを茎から切り取って食用にする。ビタミンA、Cが豊富でサラダなどに利用される。一年中店頭に並ぶが、本来の旬は冬。,植物
huyu,三冬,ブロッコリ,ぶろっこり,子持花椰菜,5,,キャベツや白菜と同じアブラナ科の緑黄色野菜。茎の頂点に細かい粒状の花芽をつける。それを茎から切り取って食用にする。ビタミンA、Cが豊富でサラダなどに利用される。一年中店頭に並ぶが、本来の旬は冬。,植物
huyu,三冬,冬柿,ふゆがき,冬柿,2,,初冬になっても収穫されず、または葉が落ち尽くした裸木に真っ赤に熟して残っている柿の実（木守柿・残る柿）。寒空にぽつんと残る鮮やかな朱色が、冬の侘しさと風情を際立たせる。,植物
huyu,三冬,冬柿,ふゆがき,冬の柿,3,,初冬になっても収穫されず、または葉が落ち尽くした裸木に真っ赤に熟して残っている柿の実（木守柿・残る柿）。寒空にぽつんと残る鮮やかな朱色が、冬の侘しさと風情を際立たせる。,植物
huyu,三冬,椪柑,ぽんかん,椪柑,2,凸柑,原産地はインド。高知、熊本、鹿児島等温暖地で栽培される。果 実は直径六～八センチ、赤みを帯びた橙色。果肉は鮮やかな橙黄色で、水分が多く、甘味と香気に富む。,植物
huyu,三冬,椪柑,ぽんかん,凸柑,2,,原産地はインド。高知、熊本、鹿児島等温暖地で栽培される。果 実は直径六～八センチ、赤みを帯びた橙色。果肉は鮮やかな橙黄色で、水分が多く、甘味と香気に富む。,植物
huyu,三冬,松藻,まつも,松藻,2,,ナガマツモ科褐藻類の海草。荒海の岩に繁茂し、緑褐色の小さな枝が出て、形が松に似る。銚子以北、三陸海岸、能登半島以北でとれ、十二月から二、三月が採集期。酢味噌、三杯酢、汁の実等になる。乾燥させたものは、焙って香りを楽しむ。,植物
huyu,三冬,万両,まんりょう,万両,2,実万両,ヤブコウジ科の常緑低木で、葉の下に直径六ミリ位の実をつける。まれに黄色や白い実をつける品種があり、黄実万両、白実万両と呼ばれる。千両と共に正月の縁起物として飾られる。,植物
huyu,三冬,万両,まんりょう,実万両,3,,ヤブコウジ科の常緑低木で、葉の下に直径六ミリ位の実をつける。まれに黄色や白い実をつける品種があり、黄実万両、白実万両と呼ばれる。千両と共に正月の縁起物として飾られる。,植物
huyu,三冬,冬鶲,ふゆひたき,冬鶲,2,,ジョウビタキは、全国的に冬鳥として渡来するが、積雪の多い地域では越冬しないとのことである。ジョウビタキは、低地から山地の山林や農耕地、市街地の公園や庭等広範囲の環境で生息するため、冬期に最も観察頻度の高いヒタキ類である。,動物
huyu,三冬,蜜柑,みかん,蜜柑,2,温州蜜柑、紀州蜜柑、紅蜜柑、蜜柑山、蜜柑畑,冬のこたつに欠かせない日本の果物の代表（温州みかん）。鮮やかな橙色の皮を剥く爽やかな香りと、甘酸っぱく瑞々しい果汁。,植物
huyu,三冬,蜜柑,みかん,温州蜜柑,4,,冬のこたつに欠かせない日本の果物の代表（温州みかん）。鮮やかな橙色の皮を剥く爽やかな香りと、甘酸っぱく瑞々しい果汁。,植物
huyu,三冬,蜜柑,みかん,紀州蜜柑,4,,冬のこたつに欠かせない日本の果物の代表（温州みかん）。鮮やかな橙色の皮を剥く爽やかな香りと、甘酸っぱく瑞々しい果汁。,植物
huyu,三冬,蜜柑,みかん,紅蜜柑,3,,冬のこたつに欠かせない日本の果物の代表（温州みかん）。鮮やかな橙色の皮を剥く爽やかな香りと、甘酸っぱく瑞々しい果汁。,植物
huyu,三冬,蜜柑,みかん,蜜柑山,3,,冬のこたつに欠かせない日本の果物の代表（温州みかん）。鮮やかな橙色の皮を剥く爽やかな香りと、甘酸っぱく瑞々しい果汁。,植物
huyu,三冬,蜜柑,みかん,蜜柑畑,3,,冬のこたつに欠かせない日本の果物の代表（温州みかん）。鮮やかな橙色の皮を剥く爽やかな香りと、甘酸っぱく瑞々しい果汁。,植物
huyu,三冬,蜜柑,みかん,みかん,3,,冬のこたつに欠かせない日本の果物の代表（温州みかん）。鮮やかな橙色の皮を剥く爽やかな香りと、甘酸っぱく瑞々しい果汁。,植物
huyu,三冬,深山樒,みやましきみ,深山樒,3,太山樒/庭躑躅/岡躑躅/ははら草,ミカン科の草木状常緑低木。葉や枝が樒に似て、深山幽谷の地に生じることからこの名がある。初夏、緑白色の小花が枝先に群がって咲き、冬には赤い実が美しい。庭にも植えられるし、生花にも使うが、有毒植物である。,植物
huyu,三冬,深山樒,みやましきみ,太山樒,3,,ミカン科の草木状常緑低木。葉や枝が樒に似て、深山幽谷の地に生じることからこの名がある。初夏、緑白色の小花が枝先に群がって咲き、冬には赤い実が美しい。庭にも植えられるし、生花にも使うが、有毒植物である。,植物
huyu,三冬,深山樒,みやましきみ,庭躑躅,3,,ミカン科の草木状常緑低木。葉や枝が樒に似て、深山幽谷の地に生じることからこの名がある。初夏、緑白色の小花が枝先に群がって咲き、冬には赤い実が美しい。庭にも植えられるし、生花にも使うが、有毒植物である。,植物
huyu,三冬,深山樒,みやましきみ,岡躑躅,3,,ミカン科の草木状常緑低木。葉や枝が樒に似て、深山幽谷の地に生じることからこの名がある。初夏、緑白色の小花が枝先に群がって咲き、冬には赤い実が美しい。庭にも植えられるし、生花にも使うが、有毒植物である。,植物
huyu,三冬,深山樒,みやましきみ,ははら草,4,,ミカン科の草木状常緑低木。葉や枝が樒に似て、深山幽谷の地に生じることからこの名がある。初夏、緑白色の小花が枝先に群がって咲き、冬には赤い実が美しい。庭にも植えられるし、生花にも使うが、有毒植物である。,植物
huyu,三冬,室咲,むろざき,室咲,2,室の花/室咲の梅/室の梅,温室で、春や夏の花を冬に咲かせること。古くは、厳冬に梅を咲かせて楽しみ、現代では、バラやランなど多種の花が栽培される。,植物
huyu,三冬,室咲,むろざき,室の花,3,,温室で、春や夏の花を冬に咲かせること。古くは、厳冬に梅を咲かせて楽しみ、現代では、バラやランなど多種の花が栽培される。,植物
huyu,三冬,室咲,むろざき,室咲の梅,4,,温室で、春や夏の花を冬に咲かせること。古くは、厳冬に梅を咲かせて楽しみ、現代では、バラやランなど多種の花が栽培される。,植物
huyu,三冬,室咲,むろざき,室の梅,3,,温室で、春や夏の花を冬に咲かせること。古くは、厳冬に梅を咲かせて楽しみ、現代では、バラやランなど多種の花が栽培される。,植物
huyu,三冬,芽キャベツ,めきゃべつ,芽キャベツ,5,子持甘藍/姫甘藍/姫キャベツ,アブラナ科の二年生葉菜。原産はベルギー。芽を食用とするキャベツの意で、伸びた茎の脇芽がが枝にならず、二～四センチに結球したもの。明治初年キャベツと共に輸入された。西洋料理の付け合わせに使われる。,植物
huyu,三冬,芽キャベツ,めきゃべつ,子持甘藍,4,,アブラナ科の二年生葉菜。原産はベルギー。芽を食用とするキャベツの意で、伸びた茎の脇芽がが枝にならず、二～四センチに結球したもの。明治初年キャベツと共に輸入された。西洋料理の付け合わせに使われる。,植物
huyu,三冬,芽キャベツ,めきゃべつ,姫甘藍,3,,アブラナ科の二年生葉菜。原産はベルギー。芽を食用とするキャベツの意で、伸びた茎の脇芽がが枝にならず、二～四センチに結球したもの。明治初年キャベツと共に輸入された。西洋料理の付け合わせに使われる。,植物
huyu,三冬,芽キャベツ,めきゃべつ,姫キャベツ,5,,アブラナ科の二年生葉菜。原産はベルギー。芽を食用とするキャベツの意で、伸びた茎の脇芽がが枝にならず、二～四センチに結球したもの。明治初年キャベツと共に輸入された。西洋料理の付け合わせに使われる。,植物
huyu,三冬,藪柑子,やぶこうじ,藪柑子,3,山橘、藪たちばな、あかだま、ししくわず、平地木、蔓柑子,冬から新年にかけて、日陰の林床で赤い小実をつけるヤブコウジ（十両）。素朴で可憐な佇まいが正月の寄せ植えに愛される。,植物
huyu,三冬,藪柑子,やぶこうじ,山橘,2,,冬から新年にかけて、日陰の林床で赤い小実をつけるヤブコウジ（十両）。素朴で可憐な佇まいが正月の寄せ植えに愛される。,植物
huyu,三冬,藪柑子,やぶこうじ,藪たちばな,5,,冬から新年にかけて、日陰の林床で赤い小実をつけるヤブコウジ（十両）。素朴で可憐な佇まいが正月の寄せ植えに愛される。,植物
huyu,三冬,藪柑子,やぶこうじ,あかだま,4,,冬から新年にかけて、日陰の林床で赤い小実をつけるヤブコウジ（十両）。素朴で可憐な佇まいが正月の寄せ植えに愛される。,植物
huyu,三冬,藪柑子,やぶこうじ,ししくわず,5,,冬から新年にかけて、日陰の林床で赤い小実をつけるヤブコウジ（十両）。素朴で可憐な佇まいが正月の寄せ植えに愛される。,植物
huyu,三冬,藪柑子,やぶこうじ,平地木,3,,冬から新年にかけて、日陰の林床で赤い小実をつけるヤブコウジ（十両）。素朴で可憐な佇まいが正月の寄せ植えに愛される。,植物
huyu,三冬,藪柑子,やぶこうじ,蔓柑子,3,,冬から新年にかけて、日陰の林床で赤い小実をつけるヤブコウジ（十両）。素朴で可憐な佇まいが正月の寄せ植えに愛される。,植物
huyu,三冬,龍の玉,りゅうのたま,龍の玉,3,蛇の髯の実、竜の髯の実,龍の髯の実である。山野の林中に自生し、庭園にも植えられる。 初夏のころ淡紫色の小花を咲かせ、晩秋から冬にかけてえんどう 豆くらいの大きさの実をつける。熟すると美しい碧色となる。,植物
huyu,三冬,龍の玉,りゅうのたま,竜の玉,3,,龍の髯の実である。山野の林中に自生し、庭園にも植えられる。 初夏のころ淡紫色の小花を咲かせ、晩秋から冬にかけてえんどう 豆くらいの大きさの実をつける。熟すると美しい碧色となる。,植物
huyu,三冬,龍の玉,りゅうのたま,蛇の髯の実,5,,龍の髯の実である。山野の林中に自生し、庭園にも植えられる。 初夏のころ淡紫色の小花を咲かせ、晩秋から冬にかけてえんどう 豆くらいの大きさの実をつける。熟すると美しい碧色となる。,植物
huyu,三冬,龍の玉,りゅうのたま,竜の髯の実,5,,龍の髯の実である。山野の林中に自生し、庭園にも植えられる。 初夏のころ淡紫色の小花を咲かせ、晩秋から冬にかけてえんどう 豆くらいの大きさの実をつける。熟すると美しい碧色となる。,植物
huyu,三冬,侘助,わびすけ,侘助,2,侘介,ツバキ属のなかでは、葉も花も小ぶり。白、紅、しぼりなどの一重が半開きに咲く姿は日本人好みで、茶花としても重用されている。,植物
huyu,三冬,侘助,わびすけ,侘介,2,,ツバキ属のなかでは、葉も花も小ぶり。白、紅、しぼりなどの一重が半開きに咲く姿は日本人好みで、茶花としても重用されている。,植物
huyu,三冬,侘助,わびすけ,他助の花,4,,ツバキ属のなかでは、葉も花も小ぶり。白、紅、しぼりなどの一重が半開きに咲く姿は日本人好みで、茶花としても重用されている。,植物
huyu,三冬,冬桜,ふゆざくら,冬桜,2,寒桜、緋寒桜,冬桜は十一月頃から翌年一月頃にかけて一重の白い花をつける。寒桜は緋寒桜のことで、冬桜とは別種。九州など暖かい地方に寒中緋色の花を咲かせる。,植物
huyu,三冬,冬桜,ふゆざくら,冬櫻,2,,冬桜は十一月頃から翌年一月頃にかけて一重の白い花をつける。寒桜は緋寒桜のことで、冬桜とは別種。九州など暖かい地方に寒中緋色の花を咲かせる。,植物
huyu,三冬,冬桜,ふゆざくら,ふゆ桜,3,,冬桜は十一月頃から翌年一月頃にかけて一重の白い花をつける。寒桜は緋寒桜のことで、冬桜とは別種。九州など暖かい地方に寒中緋色の花を咲かせる。,植物
huyu,三冬,冬桜,ふゆざくら,冬ざくら,4,,冬桜は十一月頃から翌年一月頃にかけて一重の白い花をつける。寒桜は緋寒桜のことで、冬桜とは別種。九州など暖かい地方に寒中緋色の花を咲かせる。,植物
huyu,三冬,冬桜,ふゆざくら,寒桜,2,,冬桜は十一月頃から翌年一月頃にかけて一重の白い花をつける。寒桜は緋寒桜のことで、冬桜とは別種。九州など暖かい地方に寒中緋色の花を咲かせる。,植物
huyu,三冬,冬桜,ふゆざくら,緋寒桜,3,,冬桜は十一月頃から翌年一月頃にかけて一重の白い花をつける。寒桜は緋寒桜のことで、冬桜とは別種。九州など暖かい地方に寒中緋色の花を咲かせる。,植物
